id,date,customer_id,store_id
1,2024-06-28 00:25:26.296833,1,28
2,2020-10-22 00:25:26.296833,2,29
3,2023-10-23 00:25:26.296833,3,21
4,2024-07-03 00:25:26.296833,4,5
5,2022-01-14 00:25:26.296833,5,14
6,2023-06-08 00:25:26.296833,6,41
7,2022-01-14 00:25:26.296833,7,6
8,2022-12-15 00:25:26.296833,8,27
9,2019-11-30 00:25:26.296833,9,44
10,2022-11-29 00:25:26.296833,10,31
11,2021-08-03 00:25:26.296833,11,34
12,2022-05-28 00:25:26.296833,12,16
13,2020-02-05 00:25:26.296833,13,14
14,2020-09-08 00:25:26.296833,14,27
15,2022-11-11 00:25:26.296833,15,20
16,2024-07-01 00:25:26.296833,16,22
17,2020-03-04 00:25:26.296833,17,28
18,2022-02-14 00:25:26.296833,18,4
19,2020-09-22 00:25:26.296833,19,18
20,2021-12-12 00:25:26.296833,20,3
21,2020-04-05 00:25:26.296833,21,49
22,2021-11-17 00:25:26.296833,22,41
23,2021-10-25 00:25:26.296833,23,37
24,2020-01-06 00:25:26.296833,24,5
25,2019-11-12 00:25:26.296833,25,32
26,2020-06-25 00:25:26.296833,26,11
27,2021-01-01 00:25:26.296833,27,4
28,2024-03-06 00:25:26.296833,28,18
29,2023-08-10 00:25:26.296833,29,50
30,2022-12-18 00:25:26.296833,30,38
31,2021-06-27 00:25:26.296833,31,16
32,2022-07-28 00:25:26.296833,32,32
33,2021-11-21 00:25:26.296833,33,44
34,2022-01-15 00:25:26.296833,34,17
35,2023-01-11 00:25:26.296833,35,44
36,2022-05-26 00:25:26.296833,36,17
37,2024-01-30 00:25:26.296833,37,39
38,2023-06-15 00:25:26.296833,38,37
39,2023-07-21 00:25:26.296833,39,40
40,2024-06-21 00:25:26.296833,40,31
41,2023-10-03 00:25:26.296833,41,8
42,2023-02-28 00:25:26.296833,42,28
43,2023-10-18 00:25:26.296833,43,49
44,2022-10-24 00:25:26.296833,44,9
45,2024-08-26 00:25:26.296833,45,32
46,2023-02-08 00:25:26.296833,46,6
47,2024-05-04 00:25:26.296833,47,26
48,2022-04-29 00:25:26.296833,48,4
49,2022-04-26 00:25:26.296833,49,10
50,2024-09-21 00:25:26.296833,50,38
51,2021-07-20 00:25:26.296833,51,26
52,2024-04-11 00:25:26.296833,52,47
53,2022-12-18 00:25:26.296833,53,45
54,2021-02-02 00:25:26.296833,54,25
55,2021-04-11 00:25:26.296833,55,9
56,2023-04-18 00:25:26.296833,56,34
57,2023-11-20 00:25:26.296833,57,35
58,2024-09-24 00:25:26.296833,58,16
59,2022-08-27 00:25:26.296833,59,43
60,2020-08-11 00:25:26.296833,60,2
61,2019-12-17 00:25:26.296833,61,31
62,2020-05-05 00:25:26.296833,62,5
63,2023-11-06 00:25:26.296833,63,24
64,2021-10-15 00:25:26.296833,64,13
65,2023-08-08 00:25:26.296833,65,2
66,2022-06-23 00:25:26.296833,66,30
67,2023-11-15 00:25:26.296833,67,39
68,2021-11-02 00:25:26.296833,68,34
69,2024-03-04 00:25:26.296833,69,6
70,2023-10-16 00:25:26.296833,70,39
71,2024-09-10 00:25:26.296833,71,38
72,2023-04-16 00:25:26.296833,72,28
73,2021-09-13 00:25:26.296833,73,3
74,2024-07-22 00:25:26.296833,74,49
75,2023-09-13 00:25:26.296833,75,39
76,2023-05-10 00:25:26.296833,76,18
77,2023-04-01 00:25:26.296833,77,16
78,2020-01-11 00:25:26.296833,78,47
79,2021-10-16 00:25:26.296833,79,31
80,2022-12-03 00:25:26.296833,80,45
81,2021-03-18 00:25:26.296833,81,19
82,2024-01-25 00:25:26.296833,82,15
83,2020-08-01 00:25:26.296833,83,44
84,2020-02-02 00:25:26.296833,84,18
85,2020-03-17 00:25:26.296833,85,45
86,2023-05-11 00:25:26.296833,86,21
87,2022-07-03 00:25:26.296833,87,35
88,2020-02-11 00:25:26.296833,88,40
89,2019-10-25 00:25:26.296833,89,43
90,2024-08-06 00:25:26.296833,90,22
91,2020-10-01 00:25:26.296833,91,26
92,2024-01-23 00:25:26.296833,92,26
93,2021-07-31 00:25:26.296833,93,15
94,2024-03-29 00:25:26.296833,94,40
